	"State"	"S/B"	"Name"	2183991
0	0	"B"	3	0.00014%
1	0	"C"	1	0.00005%
2	0	"S"	1	0.00005%
3	"AA"	"S"	1	0.00005%
4	"AB"	"B"	15	0.00069%
5	"AB"	"C"	21	0.00096%
6	"AB"	"S"	32	0.00147%
7	"AD"	"S"	1	0.00005%
8	"AE"	"B"	3	0.00014%
9	"AE"	"S"	2	0.00009%
10	"AF"	"B"	1	0.00005%
11	"AF"	"C"	1	0.00005%
12	"AF"	"S"	1	0.00005%
13	"AG"	"S"	1	0.00005%
14	"AK"	"B"	458	0.02097%
15	"AK"	"C"	35	0.00160%
16	"AK"	"S"	521	0.02386%
17	"AL"	"B"	382	0.01749%
18	"AL"	"C"	39	0.00179%
19	"AL"	"S"	545	0.02495%
20	"AM"	"B"	2	0.00009%
21	"AM"	"S"	3	0.00014%
22	"AP"	"B"	4	0.00018%
23	"AR"	"B"	119	0.00545%
24	"AR"	"C"	27	0.00124%
25	"AR"	"S"	247	0.01131%
26	"AS"	"S"	4	0.00018%
27	"AU"	"B"	10	0.00046%
28	"AU"	"C"	1	0.00005%
29	"AU"	"S"	12	0.00055%
30	"AX"	"S"	2	0.00009%
31	"AZ"	"B"	1398	0.06401%
32	"AZ"	"C"	266	0.01218%
33	"AZ"	"S"	2780	0.12729%
34	"BA"	"B"	18	0.00082%
35	"BA"	"C"	1	0.00005%
36	"BA"	"S"	15	0.00069%
37	"BC"	"B"	55	0.00252%
38	"BC"	"C"	6	0.00027%
39	"BC"	"S"	124	0.00568%
40	"BE"	"B"	39	0.00179%
41	"BE"	"C"	2	0.00009%
42	"BE"	"S"	41	0.00188%
43	"BK"	"B"	1	0.00005%
44	"BL"	"S"	1	0.00005%
45	"BM"	"C"	2	0.00009%
46	"BR"	"B"	4	0.00018%
47	"BR"	"S"	4	0.00018%
48	"BS"	"S"	1	0.00005%
49	"BV"	"B"	1	0.00005%
50	"BV"	"C"	2	0.00009%
51	"BW"	"B"	6	0.00027%
52	"BW"	"S"	3	0.00014%
53	"BX"	"C"	1	0.00005%
54	"BX"	"S"	2	0.00009%
55	"CA"	"B"	7222	0.33068%
56	"CA"	"C"	1808	0.08278%
57	"CA"	"S"	7795	0.35692%
58	"CE"	"S"	1	0.00005%
59	"CH"	"B"	4	0.00018%
60	"CH"	"S"	2	0.00009%
61	"CI"	"B"	1	0.00005%
62	"CI"	"C"	1	0.00005%
63	"CL"	"S"	1	0.00005%
64	"CN"	"S"	1	0.00005%
65	"CO"	"B"	1690	0.07738%
66	"CO"	"C"	282	0.01291%
67	"CO"	"S"	2589	0.11854%
68	"CR"	"B"	25	0.00114%
69	"CR"	"C"	4	0.00018%
70	"CR"	"S"	21	0.00096%
71	"CT"	"B"	56599	2.59154%
72	"CT"	"C"	3641	0.16671%
73	"CT"	"S"	43894	2.00981%
74	"CU"	"B"	2	0.00009%
75	"DA"	"B"	3	0.00014%
76	"DA"	"S"	1	0.00005%
77	"DC"	"B"	1306	0.05980%
78	"DC"	"C"	159	0.00728%
79	"DC"	"S"	892	0.04084%
80	"DE"	"B"	818	0.03745%
81	"DE"	"C"	108	0.00495%
82	"DE"	"S"	585	0.02679%
83	"DL"	"B"	8	0.00037%
84	"DL"	"C"	2	0.00009%
85	"DL"	"S"	3	0.00014%
86	"DU"	"B"	1	0.00005%
87	"DV"	"B"	1	0.00005%
88	"EG"	"B"	4	0.00018%
89	"EG"	"S"	1	0.00005%
90	"EH"	"B"	1	0.00005%
91	"EL"	"S"	2	0.00009%
92	"EN"	"B"	35	0.00160%
93	"EN"	"C"	1	0.00005%
94	"EN"	"S"	28	0.00128%
95	"ES"	"S"	2	0.00009%
96	"ET"	"B"	1	0.00005%
97	"ET"	"S"	1	0.00005%
98	"EU"	"B"	2	0.00009%
99	"EU"	"S"	2	0.00009%
100	"FA"	"B"	11	0.00050%
101	"FA"	"C"	1	0.00005%
102	"FA"	"S"	5	0.00023%
103	"FI"	"B"	1	0.00005%
104	"FI"	"S"	2	0.00009%
105	"FL"	"B"	19615	0.89813%
106	"FL"	"C"	4841	0.22166%
107	"FL"	"S"	27500	1.25916%
108	"FO"	"B"	1	0.00005%
109	"FO"	"S"	2	0.00009%
110	"FR"	"B"	16	0.00073%
111	"FR"	"S"	15	0.00069%
112	"GA"	"B"	1443	0.06607%
113	"GA"	"C"	151	0.00691%
114	"GA"	"S"	2135	0.09776%
115	"GB"	"B"	3	0.00014%
116	"GB"	"S"	3	0.00014%
117	"GE"	"B"	23	0.00105%
118	"GE"	"C"	1	0.00005%
119	"GE"	"S"	35	0.00160%
120	"GL"	"B"	7	0.00032%
121	"GL"	"S"	8	0.00037%
122	"GR"	"B"	5	0.00023%
123	"GR"	"S"	4	0.00018%
124	"GU"	"S"	2	0.00009%
125	"GY"	"B"	1	0.00005%
126	"HA"	"B"	9	0.00041%
127	"HA"	"C"	1	0.00005%
128	"HA"	"S"	17	0.00078%
129	"HE"	"B"	2	0.00009%
130	"HI"	"B"	300	0.01374%
131	"HI"	"C"	35	0.00160%
132	"HI"	"S"	470	0.02152%
133	"HK"	"B"	4	0.00018%
134	"HK"	"S"	8	0.00037%
135	"HM"	"B"	2	0.00009%
136	"HM"	"C"	1	0.00005%
137	"HM"	"S"	1	0.00005%
138	"HN"	"B"	1	0.00005%
139	"HO"	"B"	3	0.00014%
140	"HO"	"S"	1	0.00005%
141	"HU"	"S"	1	0.00005%
142	"HY"	"S"	2	0.00009%
143	"IA"	"B"	310	0.01419%
144	"IA"	"C"	68	0.00311%
145	"IA"	"S"	329	0.01506%
146	"ID"	"B"	279	0.01277%
147	"ID"	"C"	29	0.00133%
148	"ID"	"S"	434	0.01987%
149	"IL"	"B"	1916	0.08773%
150	"IL"	"C"	301	0.01378%
151	"IL"	"S"	1896	0.08681%
152	"IN"	"B"	506	0.02317%
153	"IN"	"C"	87	0.00398%
154	"IN"	"S"	650	0.02976%
155	"IO"	"B"	33	0.00151%
156	"IO"	"C"	2	0.00009%
157	"IO"	"S"	33	0.00151%
158	"IR"	"B"	6	0.00027%
159	"IR"	"S"	3	0.00014%
160	"IS"	"B"	5	0.00023%
161	"IS"	"S"	4	0.00018%
162	"IT"	"S"	2	0.00009%
163	"JA"	"B"	11	0.00050%
164	"JA"	"S"	5	0.00023%
165	"KA"	"B"	10	0.00046%
166	"KA"	"C"	2	0.00009%
167	"KA"	"S"	27	0.00124%
168	"KE"	"B"	4	0.00018%
169	"KE"	"S"	6	0.00027%
170	"KI"	"B"	1	0.00005%
171	"KN"	"B"	4	0.00018%
172	"KN"	"S"	2	0.00009%
173	"KS"	"B"	255	0.01168%
174	"KS"	"C"	33	0.00151%
175	"KS"	"S"	309	0.01415%
176	"KU"	"S"	2	0.00009%
177	"KY"	"B"	357	0.01635%
178	"KY"	"C"	33	0.00151%
179	"KY"	"S"	520	0.02381%
180	"LA"	"B"	332	0.01520%
181	"LA"	"C"	21	0.00096%
182	"LA"	"S"	398	0.01822%
183	"LI"	"B"	4	0.00018%
184	"LI"	"S"	4	0.00018%
185	"LO"	"S"	2	0.00009%
186	"MA"	"B"	56475	2.58586%
187	"MA"	"C"	5131	0.23494%
188	"MA"	"S"	41580	1.90385%
189	"MB"	"B"	4	0.00018%
190	"MB"	"S"	7	0.00032%
191	"MC"	"B"	13	0.00060%
192	"MC"	"C"	1	0.00005%
193	"MC"	"S"	10	0.00046%
194	"MD"	"B"	4139	0.18952%
195	"MD"	"C"	411	0.01882%
196	"MD"	"S"	3414	0.15632%
197	"ME"	"B"	3467	0.15875%
198	"ME"	"C"	449	0.02056%
199	"ME"	"S"	5590	0.25595%
200	"MI"	"B"	1365	0.06250%
201	"MI"	"C"	188	0.00861%
202	"MI"	"S"	1536	0.07033%
203	"MN"	"B"	644	0.02949%
204	"MN"	"C"	129	0.00591%
205	"MN"	"S"	766	0.03507%
206	"MO"	"B"	636	0.02912%
207	"MO"	"C"	133	0.00609%
208	"MO"	"S"	767	0.03512%
209	"MP"	"S"	4	0.00018%
210	"MS"	"B"	123	0.00563%
211	"MS"	"C"	22	0.00101%
212	"MS"	"S"	170	0.00778%
213	"MT"	"B"	220	0.01007%
214	"MT"	"C"	34	0.00156%
215	"MT"	"S"	391	0.01790%
216	"N"	"S"	1	0.00005%
217	"NB"	"B"	51	0.00234%
218	"NB"	"C"	7	0.00032%
219	"NB"	"S"	55	0.00252%
220	"NC"	"B"	2137	0.09785%
221	"NC"	"C"	281	0.01287%
222	"NC"	"S"	4477	0.20499%
223	"ND"	"B"	42	0.00192%
224	"ND"	"C"	3	0.00014%
225	"ND"	"S"	47	0.00215%
226	"NE"	"B"	201	0.00920%
227	"NE"	"C"	67	0.00307%
228	"NE"	"S"	253	0.01158%
229	"NF"	"B"	13	0.00060%
230	"NF"	"S"	5	0.00023%
231	"NH"	"B"	24790	1.13508%
232	"NH"	"C"	3026	0.13855%
233	"NH"	"S"	21770	0.99680%
234	"NI"	"B"	8	0.00037%
235	"NI"	"S"	1	0.00005%
236	"NJ"	"B"	28947	1.32542%
237	"NJ"	"C"	1290	0.05907%
238	"NJ"	"S"	18251	0.83567%
239	"NL"	"B"	1	0.00005%
240	"NL"	"S"	5	0.00023%
241	"NM"	"B"	407	0.01864%
242	"NM"	"C"	42	0.00192%
243	"NM"	"S"	731	0.03347%
244	"NO"	"B"	3	0.00014%
245	"NS"	"B"	29	0.00133%
246	"NS"	"C"	3	0.00014%
247	"NS"	"S"	36	0.00165%
248	"NT"	"B"	1	0.00005%
249	"NV"	"B"	350	0.01603%
250	"NV"	"C"	78	0.00357%
251	"NV"	"S"	593	0.02715%
252	"NW"	"B"	2	0.00009%
253	"NW"	"S"	1	0.00005%
254	"NY"	"B"	53061	2.42954%
255	"NY"	"C"	3654	0.16731%
256	"NY"	"S"	38888	1.78059%
257	"NZ"	"S"	16	0.00073%
258	"OH"	"B"	2473	0.11323%
259	"OH"	"C"	353	0.01616%
260	"OH"	"S"	2511	0.11497%
261	"OK"	"B"	348	0.01593%
262	"OK"	"C"	75	0.00343%
263	"OK"	"S"	466	0.02134%
264	"OL"	"B"	1	0.00005%
265	"OM"	"S"	1	0.00005%
266	"ON"	"B"	2041	0.09345%
267	"ON"	"C"	99	0.00453%
268	"ON"	"S"	1342	0.06145%
269	"OR"	"B"	536	0.02454%
270	"OR"	"C"	98	0.00449%
271	"OR"	"S"	887	0.04061%
272	"OS"	"B"	2	0.00009%
273	"OT"	"B"	4	0.00018%
274	"OT"	"S"	4	0.00018%
275	"OX"	"S"	1	0.00005%
276	"PA"	"B"	8768	0.40147%
277	"PA"	"C"	632	0.02894%
278	"PA"	"S"	7024	0.32161%
279	"PC"	"B"	1	0.00005%
280	"PC"	"S"	3	0.00014%
281	"PE"	"B"	5	0.00023%
282	"PE"	"S"	12	0.00055%
283	"PG"	"B"	1	0.00005%
284	"PH"	"B"	2	0.00009%
285	"PH"	"S"	1	0.00005%
286	"PI"	"B"	1	0.00005%
287	"PI"	"S"	5	0.00023%
288	"PJ"	"S"	2	0.00009%
289	"PM"	"S"	2	0.00009%
290	"PO"	"B"	31	0.00142%
291	"PO"	"S"	15	0.00069%
292	"PQ"	"B"	3670	0.16804%
293	"PQ"	"C"	229	0.01049%
294	"PQ"	"S"	3561	0.16305%
295	"PR"	"B"	332	0.01520%
296	"PR"	"C"	13	0.00060%
297	"PR"	"S"	175	0.00801%
298	"QB"	"B"	5	0.00023%
299	"QB"	"S"	2	0.00009%
300	"QC"	"B"	122	0.00559%
301	"QC"	"C"	5	0.00023%
302	"QC"	"S"	85	0.00389%
303	"QE"	"B"	7	0.00032%
304	"QE"	"S"	9	0.00041%
305	"QH"	"S"	1	0.00005%
306	"QU"	"B"	31	0.00142%
307	"QU"	"C"	2	0.00009%
308	"QU"	"S"	40	0.00183%
309	"QW"	"S"	2	0.00009%
310	"RA"	"B"	1	0.00005%
311	"RE"	"B"	1	0.00005%
312	"RE"	"S"	2	0.00009%
313	"RH"	"B"	3	0.00014%
314	"RI"	"B"	5596	0.25623%
315	"RI"	"C"	351	0.01607%
316	"RI"	"S"	4070	0.18636%
317	"RO"	"S"	1	0.00005%
318	"RU"	"B"	3	0.00014%
319	"RU"	"S"	3	0.00014%
320	"SA"	"B"	14	0.00064%
321	"SA"	"C"	1	0.00005%
322	"SA"	"S"	26	0.00119%
323	"SC"	"B"	1059	0.04849%
324	"SC"	"C"	183	0.00838%
325	"SC"	"S"	2289	0.10481%
326	"SD"	"B"	41	0.00188%
327	"SD"	"C"	4	0.00018%
328	"SD"	"S"	84	0.00385%
329	"SK"	"S"	1	0.00005%
330	"SM"	"B"	1	0.00005%
331	"SN"	"B"	2	0.00009%
332	"SN"	"S"	4	0.00018%
333	"SP"	"B"	2	0.00009%
334	"SP"	"S"	5	0.00023%
335	"SS"	"S"	1	0.00005%
336	"ST"	"B"	18	0.00082%
337	"ST"	"S"	15	0.00069%
338	"SW"	"B"	13	0.00060%
339	"SW"	"C"	2	0.00009%
340	"SW"	"S"	8	0.00037%
341	"TA"	"B"	1	0.00005%
342	"TE"	"C"	1	0.00005%
343	"TE"	"S"	4	0.00018%
344	"TH"	"S"	1	0.00005%
345	"TI"	"B"	3	0.00014%
346	"TN"	"B"	755	0.03457%
347	"TN"	"C"	97	0.00444%
348	"TN"	"S"	1327	0.06076%
349	"TO"	"B"	3	0.00014%
350	"TR"	"S"	1	0.00005%
351	"TU"	"S"	2	0.00009%
352	"TW"	"S"	2	0.00009%
353	"TX"	"B"	3180	0.14560%
354	"TX"	"C"	601	0.02752%
355	"TX"	"S"	4668	0.21374%
356	"U"	"S"	1	0.00005%
357	"UK"	"B"	162	0.00742%
358	"UK"	"C"	6	0.00027%
359	"UK"	"S"	111	0.00508%
360	"UL"	"B"	2	0.00009%
361	"UN"	"S"	2	0.00009%
362	"US"	"B"	2	0.00009%
363	"US"	"C"	1	0.00005%
364	"US"	"S"	9	0.00041%
365	"UT"	"B"	388	0.01777%
366	"UT"	"C"	110	0.00504%
367	"UT"	"S"	643	0.02944%
368	"VA"	"B"	4645	0.21268%
369	"VA"	"C"	541	0.02477%
370	"VA"	"S"	5464	0.25018%
371	"VE"	"B"	17	0.00078%
372	"VE"	"C"	3	0.00014%
373	"VE"	"S"	8	0.00037%
374	"VI"	"B"	84	0.00385%
375	"VI"	"C"	11	0.00050%
376	"VI"	"S"	109	0.00499%
377	"VK"	"B"	1	0.00005%
378	"VT"	"B"	806392	36.92286%
379	"VT"	"C"	59753	2.73595%
380	"VT"	"S"	705445	32.30073%
381	"VZ"	"B"	1	0.00005%
382	"VZ"	"S"	3	0.00014%
383	"W"	"B"	1	0.00005%
384	"WA"	"B"	1125	0.05151%
385	"WA"	"C"	108	0.00495%
386	"WA"	"S"	1487	0.06809%
387	"WC"	"B"	1	0.00005%
388	"WC"	"S"	1	0.00005%
389	"WH"	"S"	2	0.00009%
390	"WI"	"B"	660	0.03022%
391	"WI"	"C"	133	0.00609%
392	"WI"	"S"	822	0.03764%
393	"WO"	"S"	2	0.00009%
394	"WV"	"B"	240	0.01099%
395	"WV"	"C"	21	0.00096%
396	"WV"	"S"	264	0.01209%
397	"WY"	"B"	168	0.00769%
398	"WY"	"C"	33	0.00151%
399	"WY"	"S"	286	0.01310%
400	"X"	"B"	15	0.00069%
401	"X"	"C"	1	0.00005%
402	"X"	"S"	27	0.00124%
403	"XX"	"C"	1	0.00005%
404	"XX"	"S"	5	0.00023%
405	"YT"	"B"	1	0.00005%
